font,filename,relative_path,white_ratio,dark_ratio,border_mean,border_dark_ratio,reason
YanzqJT,绢.png,fontdata_example/font/train/new/YanzqJT/images_white_bg_mask_denoised/绢.png,0.684202,0.264668,254.931915,0.000000,low_white_high_dark
YanzqJT,象.png,fontdata_example/font/train/new/YanzqJT/images_white_bg_mask_denoised/象.png,0.690803,0.266173,254.972092,0.000000,low_white_high_dark
YanzqJT,踴.png,fontdata_example/font/train/new/YanzqJT/images_white_bg_mask_denoised/踴.png,0.657675,0.296148,255.000000,0.000000,low_white_high_dark
YanzqJT,陽.png,fontdata_example/font/train/new/YanzqJT/images_white_bg_mask_denoised/陽.png,0.672219,0.286452,255.000000,0.000000,low_white_high_dark
YanzqJT,額.png,fontdata_example/font/train/new/YanzqJT/images_white_bg_mask_denoised/額.png,0.685358,0.259083,254.982147,0.000000,low_white_high_dark
YanzqJT,額1.png,fontdata_example/font/train/new/YanzqJT/images_white_bg_mask_denoised/額1.png,0.692806,0.266143,255.000000,0.000000,low_white_high_dark
YanzqJT,髫.png,fontdata_example/font/train/new/YanzqJT/images_white_bg_mask_denoised/髫.png,0.682248,0.270054,255.000000,0.000000,low_white_high_dark
ZhaomfBF,三.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/三.png,0.241151,0.696708,155.608261,0.390625,low_white_high_dark;dark_border_low_white
ZhaomfBF,不.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/不.png,0.191870,0.713389,144.627228,0.433036,low_white_high_dark;dark_border_low_white
ZhaomfBF,之.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/之.png,0.158034,0.767962,138.830353,0.455357,low_white_high_dark;dark_border_low_white
ZhaomfBF,之1.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/之1.png,0.258077,0.671491,158.132812,0.380580,low_white_high_dark;dark_border_low_white
ZhaomfBF,之2.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/之2.png,0.249851,0.666614,146.339279,0.426339,low_white_high_dark;dark_border_low_white
ZhaomfBF,之3.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/之3.png,0.233618,0.687365,152.642853,0.401786,low_white_high_dark;dark_border_low_white
ZhaomfBF,之4.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/之4.png,0.348518,0.582310,165.675217,0.350446,low_white_high_dark;dark_border_low_white
